File Name,Collection Name#1,Collection Description#1,Work Title#1,Work Title Type#1,Work Agent Name#1,Work Agent Name Vocab#1,Work Agent Name Refid#1,Work Agent Name Type#1,Work Agent Role#1,Work Agent Role Vocab#1,Work Agent Role Refid#1,Work Agent Name#2,Work Agent Name Vocab#2,Work Agent Name Refid#2,Work Agent Name Type#2,Work Agent Role#2,Work Agent Role Vocab#2,Work Agent Role Refid#2,Work Agent Name#3,Work Agent Name Vocab#3,Work Agent Name Refid#3,Work Agent Name Type#3,Work Agent Role#3,Work Agent Role Vocab#3,Work Agent Role Refid#3,Work Date#1,Work Date Type#1,Work Date#2,Work Date Type#2,Work Date#3,Inscription Text#1,Subject Term#1,Subject Type#1,Subject Vocab#1,Subject Refid#1,Subject Term#10,Subject Type#10,Subject Vocab#10,Subject Refid#10,Subject Term#2,Subject Type#2,Subject Vocab#2,Subject Refid#2,Subject Term#3,Subject Type#3,Subject Vocab#3,Subject Refid#3,Subject Term#4,Subject Type#4,Subject Vocab#4,Subject Refid#4,Subject Term#5,Subject Type#5,Subject Vocab#5,Subject Refid#5,Subject Term#6,Subject Type#6,Subject Vocab#6,Subject Refid#6,Subject Term#7,Subject Type#7,Subject Vocab#7,Subject Refid#7,Subject Term#8,Subject Type#8,Subject Vocab#8,Subject Refid#8,Subject Term#9,Subject Type#9,Subject Vocab#9,Subject Refid#9,Work Description#1,Work Type#1,Work Type Vocab#1,Work Type Refid#1,Relation#1,Relation Type#1,Relation Relids#1,Relation href#1,Location Name#1,Location Type#1,Location Refid#1,Location Refid Type#1,Image Rights,Image Source#1,Image Source Type#1,Image Source Refid#1,Image Source Refid Type#1,Image Measurement#1,Image Measurement Type#1,Image Measurement Unit#1,Image Agent Name#1,Image Agent Type#1,Image Agent Role#1,Image Date#1,Image Date Type#1,Image Work Type#1,Image Work Type Vocab#1,Image Work Type Refid#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
arbh01m1.tif,"Bent-Hyde Papers, 1905-1918","The collection consists of original maps of Indian and military positions of such areas as Sand Creek, the Arkansas River, etc., and correspondence between George Bent and George Hyde, covering the years 1905-1918.",Arapahoe positions at Sand Creek,repository,"Bent, George, 1843-1918",naf,nr 95005867,personal,author,aat,300025492,"Hyde, George E., 1882-1968",naf,n 94033850,personal,author,aat,300025492,,,,,,,,1905-1918,creation,,,,"This map, entirely made by George Bent, shows his recollection of the positions at Sand Creek. The Indian camp was divided into small camps belonging to various chiefs. He sets down the Arapaho camp and the following Cheyenne camps: Black Kettle's, White Antelope's (here he has drawn the figure of a man representing White Antelope as he was standing when shot down); One Eye's camp, War Bonnet's camp, and Sand Hill Band. He shows the trails of the attacking troops, the Indian herds west of the creek, the place where the women and children were killed; the ""pits"" under the west bank where the Indians made their stand and the positions of the soldiers surrounding the pits. George E. Hyde.",Cheyenne Indians--History--Sources,descriptiveTopic,lcsh,sh 85023188,,,,,Indians of North America--Colorado--Maps,descriptiveTopic,lcsh,sh 85065447,Colorado--History--To 1876--Maps,descriptiveTopic,lcsh,sh 85028671,"Cheyenne Indians--Wars, 1864",descriptiveTopic,lcsh,sh 85023191,Arapaho Indians--History--Sources,descriptiveTopic,lcsh,sh 85006422,"Arapaho Indians--Wars, 1864",descriptiveTopic,lcsh,sh 85006422,"Sand Creek Massacre, Colo., 1864 -- Maps",descriptiveTopic,lcsh,sh 85117184,,,,,,,,,Drawing of map depicting Sand Creek and Indian camp locations.,sketch maps,aat,300028413,,,,,University of Colorado at Boulder Libraries. Archives Dept.,repository,Box 1 Folder 1,shelfList,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Rocky Mountain Online Archive Finding Aid of the Bent-Hyde Papers, 1905-1918",electronic,"<a href=""http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml"">http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml</a>",URI,83466548,fileSize,bytes,"Veronin, Jessica",personal,scanning technician,10/23/2008,other,digital image,aat,300215302,353079,,arbh01m1.jpg
arbh02m1.tif,"Bent-Hyde Papers, 1905-1918","The collection consists of original maps of Indian and military positions of such areas as Sand Creek, the Arkansas River, etc., and correspondence between George Bent and George Hyde, covering the years 1905-1918.","Arkansas River Area  locating Bent's Stockade, Bent's Old Fort, Big Timbers, Sand Creek",repository,"Bent, George, 1843-1918",naf,nr 95005867,personal,author,aat,300025492,"Hyde, George E., 1882-1968",naf,n 94033850,personal,author,aat,300025492,,,,,,,,1905-1918,creation,,,,"I drew this map years ago when first trying to locate Bent's Fort and other places, and sent it to George Bent. He has marked on it in black ink: ""Bent's Fort"" on n. bak Arkansas R., opp. mouth of Rile Cr. (Wrong location: he later corrected it.) 2. On South bank Arkansas, from Mud Cr to C1ay Cr. ""Apaches buried."" This is the bluff in which the Prairie-Apaches buried their people in holes after an epidemic. I Think Mr. Grinnell records the date and details in one of his books. 3. ""Bitter Lake"" at a point due north of Bent's New Fort. 4. ""Black Lake"" at the head of Wild Horse Cr, east of Sand Cr. (I think both these locations are wrong, but the Cheyennes are rather mixed up about these lakes. I think Bent marked them where he did because the streams nearby are called Wild Horse Cr, These lakes are where the Cheyennes hunted wild horses about 1828. George E. Hyde.",Cheyenne Indians--History--Sources,descriptiveTopic,lcsh,sh 85023188,,,,,Indians of North America--Colorado--Maps,descriptiveTopic,lcsh,sh 85065447,Bent's Fort (Colo.) -- History -- Maps,descriptiveTopic,lcsh,sh 85013221,Apache Indians -- History -- Sources,descriptiveTopic,lcsh,sh 85005883,Arkansas River--Maps--History,geographicPlace,lcsh,sh 85007212,"Cheyenne Indians--Wars, 1864",descriptiveTopic,lcsh,sh 85023191,Colorado--History--To 1876--Maps,descriptiveTopic,lcsh,sh 85028671,,,,,,,,,"Drawing of the Arkansas River area, including Bent's Stockade, Bent's Old Fort, and Bent's New Fort",sketch maps,aat,300028413,,,,,University of Colorado at Boulder Libraries. Archives Dept.,repository,Box 1 Folder 2,shelfList,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Rocky Mountain Online Archive Finding Aid of the Bent-Hyde Papers, 1905-1918",electronic,"<a href=""http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml"">http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml</a>",URI,104465160,fileSize,bytes,"Veronin, Jessica",personal,scanning technician,10/23/2008,other,digital image,aat,300215302,353115,125,arbh02m1.jpg
arbh03m1.tif,"Bent-Hyde Papers, 1905-1918","The collection consists of original maps of Indian and military positions of such areas as Sand Creek, the Arkansas River, etc., and correspondence between George Bent and George Hyde, covering the years 1905-1918.","Bent's Old Fort, Sand Creek Trail",repository,"Bent, George, 1843-1918",naf,nr 95005867,personal,author,aat,300025492,"Hyde, George E., 1882-1968",naf,n 94033850,personal,author,aat,300025492,,,,,,,,1905-1918,creation,,,,"George Bent has marked on this map in his won hand-- Bent's Old Fort. Trail from Ft. Lyon to Sand Creek ""Battle ground, 1864"" as Sand Cr. Trail continues to head Smoky Hill where the Indians camped after Sand Cr Trail then crosses Smoky at forks and goes to the Solomon Fork. On this stream ""big Village Here here Indians brought in lot of plunder 1864"" A trails runs from Solomon to mouth Hackberry Cr on Smoky Hill. Here he marks ""BlK Camp"" (Black Kettle's camp at the time Wynkoop came out--further west of Hackberry he marks where Wynkoop came for prisoners. Lower down the Smoky Hill he marks Cheyenne village 1864"" This is Lean Bears villagesouth of it he marks where Lean Bear was killed by the Colorado troops under Lieut. Ayre He next marks a trail running south from Smoky Hill to a stream south of the Arkansas and marks the Indian village there (May-June, 1864: Inds were in these camps when Col. Bent came to Ft Lamed and tried to induce them to surrender). He also marks Indian names of many streams.",Cheyenne Indians--History--Sources,descriptiveTopic,lcsh,sh 85023188,,,,,Indians of North America--Colorado--Maps,descriptiveTopic,lcsh,sh 85065447,Bent's Fort (Colo.) -- History -- Maps,geographicPlace,lcsh,sh 85013221,"Sand Creek Massacre, Colo., 1864 -- Maps",descriptiveTopic,lcsh,sh 85117184,"Cheyenne Indians--Wars, 1864",descriptiveTopic,lcsh,sh 85023191,Colorado--History--To 1876--Maps,descriptiveTopic,lcsh,sh 85028671,,,,,,,,,,,,,"Drawing of the Arkansas River area, Sand Creek, Fort Lyon, Fort Dodge, Fort Larned, Fort Wallace, Blunt's Trail, and Smoky Hill.",sketch maps,aat,300028413,,,,,University of Colorado at Boulder Libraries. Archives Dept.,repository,Box 1 Folder 3,shelfList,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Rocky Mountain Online Archive Finding Aid of the Bent-Hyde Papers, 1905-1918",electronic,"<a href=""http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml"">http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml</a>",URI,214537172,fileSize,bytes,"Veronin, Jessica",personal,scanning technician,10/23/2008,other,digital image,aat,300215302,353151,125,arbh03m1.jpg
arbh04m1.tif,"Bent-Hyde Papers, 1905-1918","The collection consists of original maps of Indian and military positions of such areas as Sand Creek, the Arkansas River, etc., and correspondence between George Bent and George Hyde, covering the years 1905-1918.",Camp after Sand Creek and trail to North Smoky Hill and Cherry Creek,repository,"Bent, George, 1843-1918",naf,nr 95005867,personal,author,aat,300025492,"Hyde, George E., 1882-1968",naf,n 94033850,personal,author,aat,300025492,,,,,,,,1905-1918,creation,,,,"This is another map I sent to Bent. He has marked on it the camp after Sand Cr and trail from that lamp n-e to the North Smoky Hill, then n-w to Cherry Cr. I made a note on the map asking him if the Cherry Cr marked was the one where the camp was when they went to barn Jules-burg; he marked the camp on that stream and wrote a note to tell me this was the creek where they camped He then continues the trail north from Cherry Cr to the Platte. He should have marked another camp on White Butte Cr between Cherry Cr and the Platte, but was in much doubt as to what stream was White Butte Cr. I think it was Sandy Creek; Grinnell thinks it was Whiteman's Fork. I have been told by ranchers who live in that distruct today that there is a big white butte there that can be seen 25 ms away, but these ranchers are dumber than Indians and cannot locate the butte on a map. Bent was only in this locality on this one occasion and always showed considerable doubt as to the location of Cherry Cr and White Butte Cr.",Cheyenne Indians--History--Sources,descriptiveTopic,lcsh,sh 85023188,,,,,Indians of North America--Colorado--Maps,descriptiveTopic,lcsh,sh 85065447,"Sand Creek Massacre, Colo., 1864--Maps",descriptiveTopic,lcsh,sh 85117184,"Cheyenne Indians--Wars, 1864",descriptiveTopic,lcsh,sh 85023191,Colorado--History--To 1876--Maps,descriptiveTopic,lcsh,sh 85028671,,,,,,,,,,,,,,,,,Drawing of map depicting Camp after Sand Creek and trail to North Smoky Hill and Cherry Creek.,sketch maps,aat,300028413,,,,,University of Colorado at Boulder Libraries. Archives Dept.,repository,Box 1 Folder 4,shelfList,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Rocky Mountain Online Archive Finding Aid of the Bent-Hyde Papers, 1905-1918",electronic,"<a href=""http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml"">http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml</a>",URI,103224464,fileSize,bytes,"Veronin, Jessica",personal,scanning technician,10/2/2008,other,digital image,aat,300215302,353187,125,arbh04m1.jpg
arbh05m1.tif,"Bent-Hyde Papers, 1905-1918","The collection consists of original maps of Indian and military positions of such areas as Sand Creek, the Arkansas River, etc., and correspondence between George Bent and George Hyde, covering the years 1905-1918.",Cheyenne and Sioux trail in 1865; Camp at Mud Springs where Col. William O. Collins was surrounded,repository,"Bent, George, 1843-1918",naf,nr 95005867,personal,author,aat,300025492,"Hyde, George E., 1882-1968",naf,n 94033850,personal,author,aat,300025492,,,,,,,,1905-1918,creation,,,,"This little map refers to events after the great Indian camp left the Denver road in Feb, 1865. Bent marks Chey and Sioux trail in 1865; the camp at Mud Springs is shown the trail goes on north, Grosses the N. Platte and Bent here marks a creek and puts the camp between its forks. This is where the Indians were when Col. Collins came to the N. Platte. Bent surrounds Collins' coral of wagons with a circle and marks ""Indians, Indians"" to indicate how the Indians surrounded Colins. He also marks the name Rattling Gourd Buttes at Pumpkin Buttes.",Cheyenne Indians--History--Sources,descriptiveTopic,lcsh,sh 85023188,,,,,Indians of North America--Colorado--Maps,descriptiveTopic,lcsh,sh 85065447,Sioux Nation--History--Sources,descriptiveTopic,lcsh,no 93026361,"Cheyenne Indians--Wars, 1864",descriptiveTopic,lcsh,sh 85023191,Colorado--History--To 1876--Maps,descriptiveTopic,lcsh,sh 85028671,,,,,,,,,,,,,,,,,Drawing of map depicting Cheyenne and Sioux trail in 1865; Camp at Mud Springs,sketch maps,aat,300028413,,,,,University of Colorado at Boulder Libraries. Archives Dept.,repository,Box 1 Folder 5,shelfList,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Rocky Mountain Online Archive Finding Aid of the Bent-Hyde Papers, 1905-1918",electronic,"<a href=""http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml"">http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml</a>",URI,55416196,fileSize,bytes,"Veronin, Jessica",personal,scanning technician,10/27/2008,other,digital image,aat,300215302,353223,125,arbh05m1.jpg
arbh06m1.tif,"Bent-Hyde Papers, 1905-1918","The collection consists of original maps of Indian and military positions of such areas as Sand Creek, the Arkansas River, etc., and correspondence between George Bent and George Hyde, covering the years 1905-1918.",Gen. Robert Mitchell's camps; confusion on placement of Indian camps,repository,"Bent, George, 1843-1918",naf,nr 95005867,personal,author,aat,300025492,"Hyde, George E., 1882-1968",naf,n 94033850,personal,author,aat,300025492,,,,,,,,1905-1918,creation,,,,"On this map I marked Col. Mitchell's camps, and sent it to Bent to get him to mark the Indian camp at the time of Mitchell's march. He seems to have been in doubt and did not mark the camp but told me they were on Cherry Cr, and he seemed in doubt as to where Cherry creek really was. I think it was on the S. Fork Republican where he usually marks it, but that the Indians had left that camp and moved north to White Butte Cr, and this was how Mitchell's cavalry failed to find the hostile camp. He says they were on Cherry Cr when they burnt Julesberg and a few days later moved north to White Butte Cr. Mitchell left the Platte after the burning of Julesberg, and that makes if very probable the Indians were on White Butte when he combed the Republican for them. Bent has marked on this map Bitter Lake cr on Medicine Lake Cr. I think this is where the Cheyenne fight with Sumner occurred, 1857--no: that was a place of the same name but on the Solomon. He also marks where the Delawares were killed in 1844 names of Sappa and Beaver Crs. This is v. important. Write Bent again. This does not clear it up, as he marks Cherry Creek, where the big camp was, at a dif. place on another map--he on that map makes it a small n. trib. of the S. Republican, that location would explain why Mitchell missed the Indians, but on the other hand it would make the Indian march from camp to Julesberg about 100 ms. (Doesn't Bent say that the march took two days?) If Cherry cr was where he marks it on this map, how did Mitchell miss the camp on that cr? But he says his scouts found great signs of recent Indian camps, doesn't he? Could Bent be right and the Indian camp where he puts it on this map, and could they have left for a northern march just before Mitchell came along? Compare dates, distances, etc, and write Bent again.",Cheyenne Indians--History--Sources,descriptiveTopic,lcsh,sh 85023188,,,,,Indians of North America--Colorado--Maps,descriptiveTopic,lcsh,sh 85065447,"Cheyenne Indians--Wars, 1864",descriptiveTopic,lcsh,sh 85023191,Colorado--History--To 1876--Maps,descriptiveTopic,lcsh,sh 85028671,,,,,,,,,,,,,,,,,,,,,Drawing of Gen. Robert Mitchell's camps depicting placement of Indian camps.,sketch maps,aat,300028413,,,,,University of Colorado at Boulder Libraries. Archives Dept.,repository,Box 1 Folder 6,shelfList,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Rocky Mountain Online Archive Finding Aid of the Bent-Hyde Papers, 1905-1918",electronic,"<a href=""http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml"">http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml</a>",URI,103977672,fileSize,bytes,"Veronin, Jessica",personal,scanning technician,10/27/2008,other,digital image,aat,300215302,353259,125,arbh06m1.jpg
arbh07m1.tif,"Bent-Hyde Papers, 1905-1918","The collection consists of original maps of Indian and military positions of such areas as Sand Creek, the Arkansas River, etc., and correspondence between George Bent and George Hyde, covering the years 1905-1918.","Kiowa Fight, 1820",repository,"Bent, George, 1843-1918",naf,nr 95005867,personal,author,aat,300025492,"Hyde, George E., 1882-1968",naf,n 94033850,personal,author,aat,300025492,,,,,,,,1905-1918,creation,,,,"This map refers to the early days about 1820. I think the story of the Kiowa fight is in Grinnell's Fighting Cheyennes. Bent has marked on this map in his own hand ""these are Scouts Creek"" ""Artichoke Creek"" This is where the Kiowa fight occured. North of the Platte he marks "" This Buttes is where Cheyennes tryd to Starve the Pawnees war party."" Grinnell I think says this affair was at Court-house Rock on the N. Platte but Bent had old Cheyennes to tell him the location and Grinnell states his location as a conjecture.",Cheyenne Indians--History--Sources,descriptiveTopic,lcsh,sh 85023188,,,,,Indians of North America--Colorado--Maps,descriptiveTopic,lcsh,sh 85065447,Pawnee Indians -- History -- Sources,descriptiveTopic,lcsh,sh 85098887,Kiowa Indians--History--Sources,descriptiveTopic,lcsh,sh 85072494,"Cheyenne Indians--Wars, 1864",descriptiveTopic,lcsh,sh 85023191,Colorado--History--To 1876--Maps,descriptiveTopic,lcsh,sh 85028671,,,,,,,,,,,,,Drawing of map depicting area of the Kiowa fight of 1820.,sketch maps,aat,300028413,,,,,University of Colorado at Boulder Libraries. Archives Dept.,repository,Box 1 Folder 7,shelfList,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Rocky Mountain Online Archive Finding Aid of the Bent-Hyde Papers, 1905-1918",electronic,"<a href=""http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml"">http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml</a>",URI,105157568,fileSize,bytes,"Veronin, Jessica",personal,scanning technician,10/27/2008,other,digital image,aat,300215302,353313,125,arbh07m1.jpg
arbh08m1.tif,"Bent-Hyde Papers, 1905-1918","The collection consists of original maps of Indian and military positions of such areas as Sand Creek, the Arkansas River, etc., and correspondence between George Bent and George Hyde, covering the years 1905-1918.","Lodge Pole Trail; Camp of the Cheyenne and Arapahoe at the time of their battle with the Kiowa and Comanche, 1838; Trail of Dull Knife",repository,"Bent, George, 1843-1918",naf,nr 95005867,personal,author,aat,300025492,"Hyde, George E., 1882-1968",naf,n 94033850,personal,author,aat,300025492,,,,,,,,1905-1918,creation,,,,"This old work map is not correct in some details, as in location of Point-of-Rocks and Chouteau Island. Bent marked on this map in faint blue pencil marks-- 1. ""Lodge Pole Trail"" along the Arkansas from Ft Atkinson west into Colo. On Bluff Cr south of Ft Dodge ""Camp here 1840."" As I recollect it, this is the big camp of Sheyennes and Arapahoes at the time of heir battle with Kiowas and Comanches, but the date Bent gives is wrong--should be 1838. 3. On the Cimarron just below mouth of Crooked Creek ""My G. father died."" This he told me was where his grandfather, White Thunder died after being wounded in the Wolf Creek battle, 1838. White Thunder was Keeper of the Arrows and a very prominent man. This map also shows in a red broken line the trail of Dull Knife and his band--going north he crossed the Arkansas near Cimarron Crossing west of Ft Dodge and that night camped on a head of Pawnee Fork (camp shown by an Indian lodge mark inside a circle. Next day Bent says Dull Knife camped at Black Lake famous in Cheyenne tradition, and Bent marks this as the marsh or sink into which White Woman's Cr flows. Next day he camped at the mouth of Hackberry Cr, just about where Black Kettle was when Wynkoop came out to get the white prisoners in 1864.",Cheyenne Indians--History--Sources,descriptiveTopic,lcsh,sh 85023188,,,,,Indians of North America--Colorado--Maps,descriptiveTopic,lcsh,sh 85065447,Comanche Indians -- History -- Sources,descriptiveTopic,lcsh,sh 85028785,Kiowa Indians -- History -- Sources,descriptiveTopic,lcsh,sh 85072494,"Sand Creek Massacre, Colo., 1864 -- Maps",descriptiveTopic,lcsh,sh 85117184,Arapaho Indians--History--Sources,descriptiveTopic,lcsh,sh 85006422,"Cheyenne Indians--Wars, 1864",descriptiveTopic,lcsh,sh 85023191,Colorado--History--To 1876--Maps,descriptiveTopic,lcsh,sh 85028671,,,,,Drawing of map depicting camps of the Cheyenne and Arapahoe at the time of their battle with the Kiowa and Comanche in 1838 .,sketch maps,aat,300028413,,,,,University of Colorado at Boulder Libraries. Archives Dept.,repository,Box 1 Folder 8,shelfList,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Rocky Mountain Online Archive Finding Aid of the Bent-Hyde Papers, 1905-1918",electronic,"<a href=""http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml"">http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml</a>",URI,104317576,fileSize,bytes,"Veronin, Jessica",personal,scanning technician,11/7/2008,other,digital image,aat,300215302,353349,125,arbh08m1.jpg
arbh09m1.tif,"Bent-Hyde Papers, 1905-1918","The collection consists of original maps of Indian and military positions of such areas as Sand Creek, the Arkansas River, etc., and correspondence between George Bent and George Hyde, covering the years 1905-1918.",Movement of the Indians at the time of the fight with General James G. Blunt's forces in the summer of 1864,repository,"Bent, George, 1843-1918",naf,nr 95005867,personal,author,aat,300025492,"Hyde, George E., 1882-1968",naf,n 94033850,personal,author,aat,300025492,,,,,,,,1905-1918,creation,,,,"This map was made for me by George Bent, to illustrate the movements of the Indians at the time of the fight with Col. Blunts force, in the summer or early fall of 1864. 1. He has marked on the head of Walnut Cr which he calls Ash Cr the ""Chey and Arap Village, 1864"" Just east of this village he marks a dot and the words ""Blunt's Battle."" That is the scene of the fight. 2. He marks ""Blunt's trail"" running from Ft. Larned up Pawnee Fork and the across to the Indian camp on Ash Creek. Pawnee fork he marks ""Call by all Indians Red Sleeves Creek."" 3. He marks the trail used by the Indians in retiring after the Blunt fight-- it runs west from the head of Ash Cr, the turns n-e and goes to the Smoky Hill at the mouth of Rush Creek, where Black Kettle was in camp with his band of Cheyennes. Rush Cr isBent's name for the modern Ladder Creek.This trail Bent marks ""Trail after B. (Blunt) Fight."" And he marks Black Kettle's camp, ""Black Kettle's Chey camp 1864""",Cheyenne Indians--History--Sources,descriptiveTopic,lcsh,sh 85023188,,,,,Indians of North America--Colorado--Maps,descriptiveTopic,lcsh,sh 85065447,"Cheyenne Indians--Wars, 1864",descriptiveTopic,lcsh,sh 85023191,Colorado--History--To 1876--Maps,descriptiveTopic,lcsh,sh 85028671,,,,,,,,,,,,,,,,,,,,,Drawing of map depicting movement of the Indians at the time of the fight with General James G. Blunt's forces in the summer of 1864.,sketch maps,aat,300028413,,,,,University of Colorado at Boulder Libraries. Archives Dept.,repository,Box 1 Folder 9,shelfList,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Rocky Mountain Online Archive Finding Aid of the Bent-Hyde Papers, 1905-1918",electronic,"<a href=""http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml"">http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml</a>",URI,82247096,fileSize,bytes,"Veronin, Jessica",personal,scanning technician,11/7/2008,other,digital image,aat,300215302,353385,125,arbh09m1.jpg
arbh10m.tif,"Bent-Hyde Papers, 1905-1918","The collection consists of original maps of Indian and military positions of such areas as Sand Creek, the Arkansas River, etc., and correspondence between George Bent and George Hyde, covering the years 1905-1918.",Sand Creek Area,repository,"Bent, George, 1843-1918",naf,nr 95005867,personal,author,aat,300025492,"Hyde, George E., 1882-1968",naf,n 94033850,personal,author,aat,300025492,,,,,,,,1905-1918,creation,,,,"I sent this sketch map to Bent to get him to locate on it certain places mentioned in his narrative. He noted, with pen and ink, the following items --- 1. Southwest corner of map: Ft. Lyon and ""Indian trail made by Lodge Poles"" running from the fort n-e across Sand Creek and on to the head of Smoky Hill river. 2. ""Battle Sand Creek 1864"" on Sand Creek at the point where the trail crosses. 3. At west edge of map near upper Rush Creek; ""Fine spring here of Water ran into Black Lakes. Wild Horses ranged here."" The Black Lakes were where the Cheyennes went to run wild horses about 1828, 100 years ago. The lake, or lakes, are often mentioned in the Cheyennes stories about wild horses and about Bull Hump the Comanche chief. 4. On White Woman's Creek in southeast corner: ""White Woman was Captured Mouth of this Creek 1868."" He told me that was how the creek got its name. 5. The points on Sand Creek where running water is marked are numbered L and 2. I suggested to Bent that one of these points was the location of Black Kettle's camp; but he said no and marked the camp where shown on the map. George E. Hyde. October, 1928.",Cheyenne Indians--History--Sources,descriptiveTopic,lcsh,sh 85023188,,,,,Indians of North America--Colorado--Maps,descriptiveTopic,lcsh,sh 85065447,"Sand Creek Massacre, Colo., 1864",descriptiveTopic,lcsh,sh 85117184,"Cheyenne Indians--Wars, 1864",descriptiveTopic,lcsh,sh 85023191,Colorado--History--To 1876--Maps,descriptiveTopic,lcsh,sh 85028671,,,,,,,,,,,,,,,,,"Drawing of map depicting the Sand Creek Area 1864-1868, including the Battle of Sand Creek and Indian trails.",sketch maps,aat,300028413,,,,,University of Colorado at Boulder Libraries. Archives Dept.,repository,Box 1 Folder 10,shelfList,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Rocky Mountain Online Archive Finding Aid of the Bent-Hyde Papers, 1905-1918",electronic,"<a href=""http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml"">http://rmoa.unm.edu/docviewer.php?docId=cou2benthyde.xml</a>",URI,132129816,fileSize,bytes,"Veronin, Jessica",personal,scanning technician,11/7/2008,other,digital image,aat,300215302,353421,125,arbh10m.jpg
